firstCategoryNo,secondCategoryNo,category
100,1,電腦基礎知識
100,2,電腦程式設計
100,3,互聯網
100,4,概論
101,1,機械工程
101,2,電機及電子工程
101,3,通訊
101,4,概論
102,1,科學史
102,2,數學
102,3,物理
102,4,概論
103,1,兒童科普讀物
103,2,兒童百科全書
103,3,兒童常識
