bookID,bookName,author,price,language,publisher,publishDate,bookImgURL,introduction,ISBN,totalPages,firstCategoryNo,secondCategoryNo,stock
8,遇見特暴龍,孫昱,133,CN,白象文化,2018-01-01,https://i.imgur.com/lhu2VL8.jpg,以故事繪本的方式介紹特暴龍的一生，有知識，有感性，讓人真實的陪牠走過這段旅程。\r\n\r\n◎ 古生物骨骼模型製作家栩栩如生的精緻繪圖，呈現白堊時代的動植物生態。\r\n◎ 講述主角特暴龍的一生，帶你近身觀察特暴龍的生活型態與生命歷程。\r\n◎ 身歷其境的敘述方式情趣盎然，成人與孩童皆合適閱讀的繪本。\r\n\r\n一個陰天的下午，有人送來了一個包裹和一封信。包裹是一個大型獸腳類恐龍的下顎骨化石，信卻是兩年前他寫給自己的：「你甘願一輩子只看石頭和圖片裡的牠們嗎？」\r\n\r\n於是這封奇妙的信，帶他穿越了時光，來到七千萬年前的白堊紀，親眼看見大型獸腳類恐龍──特暴龍，從孵化、生長、成年、流浪、成家、生子、喪偶到死亡的一生過程。\r\n\r\n在母親構築的這個半球體堡壘裡邊，一些小傢伙正從長橢圓形的蛋裡努力爬出。這些新出殼的寶寶完全不像他們的父母，看起來更像是鱷魚和小鳥的奇怪組合。\r\n\r\n牠們進入了快速生長的週期，垂羽正逐步替換以前蓬鬆的絨毛，儘管依然看上去纖細，實際上牠們此時的體重已經達到了990磅左右，而且還在以一種驚人的速度持續增加。\r\n\r\n在失去父親的當口，河口鱷又突襲成功，家庭又一次失去了一名成員。孤獨的男孩只好主動放棄了這裡，在黃昏到來時沿著海岸線踏上了流浪的道路。\r\n\r\n現在的他已經準備好開始一段全新的生活了，他遇到了另一個孤獨的姑娘，求偶的時刻到來了。牠們如同自己的父母當年那樣，修築了一座巢穴，那裡有牠們愛情的結晶。\r\n\r\n在巢穴的邊上，丈夫守候著重傷的妻子，妻子最終還是沒有捱過去，在第三天，她永久地離開了。但年輕夫妻的孩子有兩隻成功地孵化出殼。\r\n\r\n又是一個暴雨多發的夏季，這個最強大的掠食者在洪水面前依然如同螻蟻一般渺小。他吼叫著驅趕自己的孩子離開，唯一的希望就是孩子能夠平安到達對岸的高地。\r\n\r\n洪水把他帶到了20英里以外的下游河口，他的屍體被泥漿緊緊包裹著沉下來，沉入飛逝的時間河流，直到有一天我再次見到他，在我原來的時代，他安靜地躺著……,9789863585862,56,103,1,
9,終極恐龍百科,DON LESSEM,232,CN,大石國際文化有限公司,2018-01-15,https://i.imgur.com/I0beVa9.jpg,恐龍迷注意！\r\n\r\n有史以來最完整的恐龍百科——《國家地理學會終極恐龍百科》隆重推出2018全新增訂版，全書收錄超過600種恐龍，書中資訊皆經由國家地理學會與恐龍學者考據，所有插圖為知名恐龍畫家精心繪製，每種特色恐龍旁皆以資訊方塊呈現該種恐龍的豐富知識，例如：學名、發現者、發現時間與地點、長度、習慣、飲食、趣味小故事以及分布區域等。大小讀者都可以充滿知識性且極有效率的方式獲得關於各種恐龍的知識，如果你沒看過這本，千萬不要說你是恐龍專家！\r\n\r\n恐龍大概是地球上曾經存在的生物中，最能激發人們無限想像力的一群。牠們吃些什麼？住在哪裡？體型多大？又為何在6500萬年前從地球上消失了？關於恐龍，無論大人或小孩似乎總有無盡的好奇與疑問。隨著全球各地出土的化石越來越多，科學家對於恐龍有了更深一層的認識。\r\n\r\n你知道史上最激烈的動物大戰發生在什麼時候嗎？\r\n可能發生的恐龍對決前十名又是哪些呢？\r\n最讓人恐懼的十大捕食性恐龍排行榜？\r\n恐龍也會成群漫遊進行大遷徙嗎？\r\n南北半球的恐龍長得一樣嗎？\r\n所有的恐龍都是體型龐大、頭腦不好的動物？\r\n恐龍化石是如何形成的？\r\n\r\n除了一般人都知道的恐龍之外，《國家地理學會終極恐龍百科》更獨家網羅了許多一般人不知道的恐龍知識，例如在電影《侏羅紀公園》中，雙脊龍被塑造成口噴毒液的小型恐龍，脖子還長著傘狀皮膜。其實雙脊礱是大型恐龍，身上也沒有恐怖的皮膜和毒液，而在美國發現的「霸王龍」，在亞洲竟然有一個幾乎一模一樣的親戚，那就是特暴龍。徹底閱讀本書，絕對讓你對恐龍更了若指掌！,9789578722040,296,103,1,
10,世界地圖旅行,李惠晶,133,CN,螢火蟲文化事業有限公司,2017-08-01,https://i.imgur.com/DaGmkrH.jpg,你知道嗎？\r\n要花上7天6夜，才能走完西伯利亞鐵路\r\n有超過50個國家，都使用英語作為官方語言\r\n緯度0度的赤道，影響了非洲的大部分氣候\r\n有超過20000個島嶼，分布在大洋洲的海洋上\r\n巴拿馬運河，為船隻省下14800公里的航行\r\n世界上1/4的氧氣，都是亞馬遜雨林所製造的\r\n北冰洋跟南極洲有1/2的時間處於永夜，另外1/2則處於永晝\r\n\r\n7大洲手繪地圖，15項主題跨頁\r\n帶你推開通往世界的大門，探索豐富精彩的知識！,9789864520961,64,103,2,
11,細路都識法,吳海傑,78,CN,三聯書店(香港)有限公司,2017-10-16,https://i.imgur.com/mVllBwz.jpg,這是一本專門寫給小朋友的法律書，更可能開創了知識類課外書和父母教養小朋友的新範式——一種以孩子生活和思考角度為本位的教導方法。\r\n\r\n故事要從兩個女兒的父親——吳海傑博士說起。十年前，他就很想為小朋友寫一本法律書，但卻不知道如何令小朋友覺得有趣。直至有了兩個可愛的女兒，他才知道：要讓孩子明白道理，你先要讓他們知道為什麼要明白；當他們明白了道理和他們的生活有什麼關係，才會有興趣繼續閱讀和思考。因此，他創作了這本以孩子為本位的法律書，每一個故事都與孩子平日的家庭生活、學校生活和社交生活有關；故事的三位主角，是熟識法律的可愛貓咪法寶、小學女生晴晴和她的哥哥朗朗。不包羅萬有，也不沉悶刻板，務求描述孩子每天生活中的法律元素。\r\n\r\n為什麼細路都要識法？\r\n\r\n「我希望小孩子讀完這本書後會知道香港是個守法知禮的社會，法律雖然不能夠解決所有問題，但可提供最基本的保護。而這種保護未來能否維持下去，便要靠讀這本書的一代人了。」,9789620442339,176,103,3,
12,Cloud Native Go,Kevin Hoffman,320,ENG,Addison-Wesley Professional,2016-09-20,https://i.imgur.com/dDivlMC.jpg,"Today, companies and developers need to respond to changing markets at breakneck speeds. Organizations that aren't built on highly-available, rapidly-evolving software are going the way of the dinosaurs. Cloud Native Go brings together the knowledge developers need to build massive-scale cloud applications that meet the insatiable demands of today's customers and markets.\r\n\r\nKevin Hoffman and Dan Nemeth start with a primer on Go, a programming language that's rapidly gaining traction due to its elegant simplicity, performance, and exceptional suitability for cloud development. Next, they describe the modern cloud-native application in detail, illuminating the 12 Factors associated with successful cloud-native development and the modern disciplines and habits that drive rapid and reliable cloud development.\r\n\r\nHoffman and Nemeth then guide you through building the skills you need to create microservices in Go, helping you master key techniques such as Test-Driven Development (TDD). Once you're comfortable building microservices, the authors show how to add front-end web components using ReactJS and Flux. They walk through Go-based, cloud-native techniques for request routing, RESTful service creation, Event Sourcing and CQRS, securing services, OAuth2 authentication, and much more.\r\n\r\nYou'll find practical techniques for working with web sockets at scale in the cloud, developing reactive UIs, making the most of concurrency, and integrating database access. At each appropriate stopping point,Hoffman and Nemeth show you how to go from git commit to a continuous delivery pipeline with tools like Wercker, Docker, and Dockerhub, automatically pushing your apps to platform providers like Cloud Foundry/Pivotal Web Services, watching them run there, and assessing their ability to dynamically scale, support failover, fault tolerance, and monitoring.\r\n\r\nWith cloud-native development rapidly accelerating in importance, these are skills you need now - and no other book brings them together like this. By the time you're finished, you'll be ready to build cloud-native apps that dynamically scale to handle virtually any volume of data, traffic, or users.",9780672337796,364,100,3,
13,A Beautiful Question,Frank Wilczek,171,ENG,Penguin Books,2016-07-01,https://i.imgur.com/ZPGLXDI.jpg,"Artists as well as scientists throughout human history have pondered this “beautiful question.” With Nobel laureate Frank Wilczek as your guide, embark on a voyage of related discoveries, from Plato and Pythagoras up to the present. Wilczek’s groundbreaking work in quantum physics was inspired by his intuition to look for a deeper order of beauty in nature. This is the deep logic of the universe—and it is no accident that it is also at the heart of what we find aesthetically pleasing and inspiring.\r\n\r\nWilczek is hardly alone among great scientists in charting his course using beauty as his compass. As he reveals in A Beautiful Question, this has been the heart of scientific pursuit from Pythagoras and the ancient belief in the music of the spheres to Galileo, Newton, Maxwell, Einstein, and into the deep waters of twentieth-century physics. Wilczek brings us right to the edge of knowledge today, where the core insights of even the craziest quantum ideas apply principles we all understand. The equations for atoms and light are almost the same ones that govern musical instruments and sound; the subatomic particles that are responsible for most of our mass are determined by simple geometric symmetries.\r\n\r\nGorgeously illustrated, A Beautiful Question is a mind-shifting book that braids the age-old quest for beauty and the age-old quest for truth into a thrilling synthesis. It is a dazzling and important work from one of our best thinkers, whose humor and infectious sense of wonder animate every page. Yes: The world is a work of art, and its deepest truths are ones we already feel, as if they were somehow written in our souls.",9780143109365,182,102,4,
